CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,LINES,,,,,,,,,,,,,,
12020,PUERTO DE NAVACERRADA,40.784445,-4.4772,CALLE VITORIA,C9,,,,,,,,,,,,,,
17004,TRES CANTOS,40.598596,-3.7156,PLAZA ESTACION FERROCARRIL,C4-C4B,,,,,,,,,,,,,,
17005,COLMENAR VIEJO,40.645211,-3.776617,AVENIDA DE LA LIBERTAD,C4-C4B,,,,,,,,,,,,,,
70111,LA GARENA,40.4807624,-3.3919677,CALLE FAUSTO ELHUYAR,C7-C8-C8A-C8B-C2,,,,,,,,,,,,,,
70103,ALCALA DE HENARES,40.488976,-3.3664702,PASEO ESTACION FERROCARRIL,C7-C8-C8A-C8B-C2-C11,,,,,,,,,,,,,,
70107,ALCALA DE HENARES-UNIVERSIDAD,40.5054503,-3.3353684,CARRETERA CAMPUS UNIVERSITARIO DE ALCALA,C8-C8A-C8B-C2-C11,,,,,,,,,,,,,,
70101,SAN FERNANDO DE HENARES,40.4424319,-3.5342411,AVENIDA DE SAN PABLO,C7-C8-C8A-C8B-C2,,,,,,,,,,,,,,
70102,TORREJON DE ARDOZ,40.4547456,-3.4797065,PLAZA ESTACION FERROCARRIL,C7-C8-C8A-C8B-C2-C11,,,,,,,,,,,,,,
70112,SOTO DEL HENARES,40.464383,-3.440614,AVENIDA JORGE OTEIZA,C7-C8-C8A-C8B-C2,,,,,,,,,,,,,,
70104,MECO,40.534668,-3.2985719,CARRETERA ESTACION FERROCARRIL,C2-C8-C8A-C8B-C11,,,,,,,,,,,,,,
37011,GETAFE-SECTOR 3,40.288252,-3.737529,CAMINO VIEJO DE TOLEDO,C4-C4A-C4B,,,,,,,,,,,,,,
37002,GETAFE-CENTRO,40.309974,-3.733989,PASEO ESTACION FERROCARRIL,C4-C4A-C4B,,,,,,,,,,,,,,
37010,LAS MARGARITAS,40.323041,-3.727278,CALLE MADRID,C4-C4A-C4B,,,,,,,,,,,,,,
60102,GETAFE-INDUSTRIAL,40.3055338,-3.7073714,AVENIDA DE LOS ANGELES,C3,,,,,,,,,,,,,,
60109,EL CASAR,40.3184029,-3.7092335,AVENIDA DEL CASAR,C3,,,,,,,,,,,,,,
35001,LEGANES,40.328633,-3.771162,CALLE VIRGEN DEL CAMINO,C5,,,,,,,,,,,,,,
35011,PARQUE POLVORANCA,40.312544,-3.783546,CALLE ARGANDA DEL REY,C5,,,,,,,,,,,,,,
35009,ZARZAQUEMADA,40.3409732,-3.7482259,CALLE DEL RONCAL,C5,,,,,,,,,,,,,,
35605,ALCORCON,40.350199,-3.831678,AVENIDA DE MOSTOLES,C5,,,,,,,,,,,,,,
35610,LAS RETAMAS,40.341869,-3.842311,AVENIDA DE MOSTOLES,C5,,,,,,,,,,,,,,
35604,SAN JOSE DE VALDERAS,40.356574,-3.815577,AVENIDA DE LISBOA,C5,,,,,,,,,,,,,,
35606,MOSTOLES,40.328724,-3.863478,PASEO DE GOYA,C5,,,,,,,,,,,,,,
35607,MOSTOLES-EL SOTO,40.330971,-3.882441,CALLE GRANADA,C5,,,,,,,,,,,,,,
35002,FUENLABRADA,40.283135,-3.799565,PASEO DE ROMA,C5,,,,,,,,,,,,,,
35010,LA SERNA-FUENLABRADA,40.296725,-3.792477,CALLE DE BARCELONA,C5,,,,,,,,,,,,,,
35012,HUMANES,40.255565,-3.828334,CALLE ESTACION FERROCARRIL,C5,,,,,,,,,,,,,,
37012,PARLA,40.241032,-3.769312,CALLE REAL,C4-C4A-C4B,,,,,,,,,,,,,,
12023,LOS COTOS,40.822239,-3.964546,CARRETERA C-604 - ESTACION FERROCARRIL,C9,,,,,,,,,,,,,,
